run_id=proof-checkpoint-sweep8-t3-20260721T114752Z sha=db82c5aa0d927c86e7bcf7997aaae8e86eb9befc cutoff_files=32
endpoints=http://127.0.0.1:8000,http://172.17.7.55:8000
2026-07-21 21:19:54,937 INFO Completed cand_13_proof_gen_r0-proof_checkpoint-t0.6-78602a7214f4 valid=True tokens=362 latency=3.8s
2026-07-21 21:19:56,864 INFO HTTP Request: POST http://172.17.7.55:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:19:56,896 INFO Completed cand_6_proof_gen_r0-proof_checkpoint-t1-5d6259dd72f1 valid=True tokens=614 latency=36.2s
2026-07-21 21:19:59,421 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:20:03,419 INFO HTTP Request: POST http://172.17.7.55:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:20:03,449 INFO Completed cand_10_proof_gen_r0-proof_checkpoint-t0.7-afde0cb085e9 valid=True tokens=449 latency=42.7s
2026-07-21 21:20:06,250 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:20:08,764 INFO HTTP Request: POST http://172.17.7.55:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:20:09,336 INFO HTTP Request: POST http://172.17.7.55:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:20:10,037 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:20:10,070 INFO Completed cand_7_proof_gen_r0-proof_checkpoint-t1-3bfc00b80b09 valid=True tokens=368 latency=15.1s
2026-07-21 21:20:10,828 INFO HTTP Request: POST http://172.17.7.55:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:20:10,860 INFO Completed cand_13_proof_gen_r0-proof_checkpoint-t1-121671b16f7a valid=True tokens=833 latency=50.1s
2026-07-21 21:20:13,776 INFO HTTP Request: POST http://172.17.7.55:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:20:13,833 INFO Completed cand_6_proof_gen_r0-proof_checkpoint-t0.6-086d31d9a5fa valid=True tokens=2061 latency=53.1s
2026-07-21 21:20:14,461 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:20:14,514 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:20:14,602 INFO Completed cand_6_proof_gen_r0-proof_checkpoint-t0.7-0631fcd213dd valid=True tokens=2008 latency=53.8s
2026-07-21 21:20:15,542 INFO HTTP Request: POST http://172.17.7.55:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:20:15,580 INFO Completed cand_7_proof_gen_r0-proof_checkpoint-t0.7-251aaab6970b valid=True tokens=657 latency=18.7s
2026-07-21 21:20:22,277 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:20:26,321 INFO HTTP Request: POST http://172.17.7.55:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:20:33,468 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:20:35,032 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:20:35,066 INFO Completed cand_7_proof_gen_r0-proof_checkpoint-t0.6-352aca34cd18 valid=True tokens=1843 latency=31.6s
2026-07-21 21:20:36,237 INFO HTTP Request: POST http://172.17.7.55:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:20:36,270 INFO Completed cand_11_proof_gen_r0-proof_checkpoint-t0.6-cdbea2f8712b valid=True tokens=962 latency=22.4s
2026-07-21 21:20:36,307 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:20:37,088 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:20:37,145 INFO Completed cand_11_proof_gen_r0-proof_checkpoint-t0.7-5d68059e562e valid=True tokens=428 latency=26.3s
2026-07-21 21:20:42,597 INFO HTTP Request: POST http://172.17.7.55:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:21:14,788 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:21:16,977 INFO HTTP Request: POST http://172.17.7.55:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:21:27,917 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:21:27,977 INFO Completed cand_10_proof_gen_r0-proof_checkpoint-t0.6-60ceba62062f valid=True tokens=6940 latency=127.2s
2026-07-21 21:21:37,612 INFO HTTP Request: POST http://172.17.7.55:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:21:37,672 INFO Completed cand_10_proof_gen_r0-proof_checkpoint-t0.7-b588f7dfc783 valid=True tokens=6192 latency=136.9s
2026-07-21 21:24:18,377 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:24:54,232 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:25:04,084 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:25:04,147 INFO Completed cand_10_proof_gen_r0-proof_checkpoint-t1-53e416b2aec4 valid=True tokens=23455 latency=343.4s
2026-07-21 21:25:39,251 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:25:54,710 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:26:01,315 INFO HTTP Request: POST http://172.17.7.55:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:26:30,493 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:26:30,671 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:26:33,480 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:26:50,090 INFO HTTP Request: POST http://172.17.7.55:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:26:55,983 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:27:07,391 INFO HTTP Request: POST http://172.17.7.55:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:28:16,139 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:28:16,215 INFO Completed cand_11_proof_gen_r0-proof_checkpoint-t0.6-bd0eb25cc9ec valid=False tokens=45462 latency=535.5s
2026-07-21 21:32:17,756 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:32:23,834 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:32:32,519 INFO HTTP Request: POST http://172.17.7.55:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:32:33,421 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:32:33,495 INFO Completed cand_13_proof_gen_r0-proof_checkpoint-t0.7-beaf560b5b35 valid=False tokens=66651 latency=765.8s
2026-07-21 21:32:34,983 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:32:35,050 INFO Completed cand_10_proof_gen_r0-proof_checkpoint-t1-e194ea3a563e valid=False tokens=66440 latency=794.3s
2026-07-21 21:32:36,245 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:32:55,645 INFO HTTP Request: POST http://172.17.7.55:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:32:55,721 INFO Completed cand_11_proof_gen_r0-proof_checkpoint-t0.7-c1d9fc440881 valid=False tokens=73728 latency=815.0s
2026-07-21 21:33:14,557 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:33:20,162 INFO HTTP Request: POST http://172.17.7.55:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:33:22,233 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:33:22,302 INFO Completed cand_8_proof_gen_r0-proof_checkpoint-t0.7-f51a5bb5160c valid=False tokens=69333 latency=841.5s
2026-07-21 21:33:28,576 INFO HTTP Request: POST http://172.17.7.55:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:33:28,646 INFO Completed cand_8_proof_gen_r0-proof_checkpoint-t0.6-89037f560c20 valid=False tokens=66716 latency=847.9s
2026-07-21 21:33:37,151 INFO HTTP Request: POST http://172.17.7.55:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:33:43,530 INFO HTTP Request: POST http://172.17.7.55:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:33:43,612 INFO Completed cand_11_proof_gen_r0-proof_checkpoint-t1-c8592b613d21 valid=False tokens=66244 latency=813.5s
2026-07-21 21:33:44,454 INFO HTTP Request: POST http://127.0.0.1:8000/v1/completions "HTTP/1.1 200 OK"
2026-07-21 21:33:44,529 INFO Completed cand_10_proof_gen_r0-proof_checkpoint-t0.6-0be82c5fdbb0 valid=False tokens=68342 latency=863.8s
2026-07-21 21:33:44,530 INFO Wrote 24 handoff results to /tmp/aimo-thinking-checkpoint/proof-checkpoint-sweep8-t3-20260721T114752Z/output
optimizer_exit=0
